"<ID>";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: du";"Det =: un-de Dnum Nmes";"N0 être d'un certain N";"N0 être de Det N Modif";"N0 être de N Modif";"il y avoir Det N Loc N0";"N0 avoir le N de V0-inf W";"Exemple Base1";"Exemple Base2";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4";"Exemple Autre5";"Exemple Autre6";"Exemple Autre7";"Exemple Autre8"
"1";"abord";"+";"+";"-";"-";"-";"+";"-";"-";"-";"Max a un abord(*E+aimable)";"~";"Luc est d'un abord difficile";"~";"~";"~";"~";"~";"~";"~"
"2";"absorption";"-";"+";"-";"-";"-";"-";"-";"-";"-";"Ce tissu a une absorption(*E+parfaite)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"3";"acabit";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~";"Max est de l'acabit de Luc";"~";"~";"~";"~";"~";"~";"~"
"4";"académie";"+";"-";"-";"-";"-";"+";"-";"-";"-";"Léa a une belle académie";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"5";"acception";"-";"+";"-";"-";"+";"+";"-";"-";"-";"Ce mot a une acception peu claire";"~";"Ce mot est d'une acception peu claire";"~";"~";"~";"~";"~";"~";"~"
"6";"accès";"+";"+";"-";"-";"-";"+";"+";"-";"-";"Cette maison a des accès commodes";"~";"Cette maison est d'un accès commode";"~";"~";"~";"~";"~";"~";"~"
"7";"accueil";"+";"-";"-";"-";"-";"-";"+";"-";"-";"Luc a un accueil chaleureux";"~";"Luc est d'un accueil chaleureux";"~";"~";"~";"~";"~";"Luc est accueillant";"L'accueil de Luc est chaleureux"
"8";"acrimonie";"+";"-";"+";"-";"+";"+";"-";"+";"-";"Max a une certaine acrimonie";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"9";"afféterie";"+";"-";"+";"-";"+";"+";"-";"+";"-";"(Max+Ce texte) a une certaine afféterie";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"10";"âge";"+";"+";"-";"-";"-";"+";"+";"-";"+";"Luc a un âge raisonnable";"~";"~";"Luc est d'âge à aller à l'école";"~";"~";"~";"~";"~";"~"
"11";"âge";"-";"+";"+";"+";"-";"+";"+";"-";"-";"Ce produit a un âge respectable";"~";"~";"~";"Ce produit a de l'âge ";"~";"~";"~";"~";"~"
"12";"air";"+";"+";"-";"-";"-";"-";"-";"-";"-";"Max (a+prend) un air con";"~";"~";"~";"~";"~";"Max a l'air con (à+pour) moi";"~";"~";"~"
"13";"aire";"-";"+";"-";"+";"+";"+";"-";"-";"-";"Cette surface a une certaine aire";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"14";"alacrité";"+";"-";"+";"-";"+";"+";"-";"+";"-";"~";"Max est d'une certaine alacrité";"~";"~";"Max a de l'alacrité";"~";"~";"~";"~";"~"
"15";"algèbre";"-";"+";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
